# Frequency,Velocity,Velstd 
#  coords,(13.0, 10.0),(5.0, 1.0)
6.600,217.260,0.769
6.617,217.071,0.409
6.633,216.882,0.402
6.650,216.694,0.396
6.667,216.508,0.390
6.683,216.321,0.388
6.700,216.136,0.388
6.717,215.951,0.388
6.733,215.767,0.388
6.750,215.583,0.388
6.767,215.400,0.388
6.783,215.218,0.388
6.800,215.036,0.388
6.817,214.855,0.388
6.833,214.675,0.388
6.850,214.495,0.388
6.867,214.316,0.388
6.883,214.138,0.388
6.900,213.960,0.388
6.917,213.783,0.388
6.933,213.607,0.388
6.950,213.431,0.388
6.967,213.256,0.388
6.983,213.081,0.388
7.000,212.907,0.388
7.017,212.734,0.388
7.033,212.561,0.388
7.050,212.389,0.388
7.067,212.218,0.388
7.083,212.047,0.388
7.100,211.877,0.388
7.117,211.708,0.388
7.133,211.539,0.388
7.150,211.371,0.388
7.167,211.203,0.388
7.183,211.036,0.388
7.200,210.870,0.388
7.217,210.704,0.388
7.233,210.539,0.388
7.250,210.374,0.388
7.267,210.210,0.388
7.283,210.046,0.388
7.300,209.883,0.388
7.317,209.721,0.388
7.333,209.559,0.388
7.350,209.398,0.388
7.367,209.237,0.388
7.383,209.077,0.388
7.400,208.917,0.388
7.417,208.758,0.388
7.433,208.600,0.388
7.450,208.442,0.388
7.467,208.284,0.388
7.483,208.128,0.388
7.500,207.972,0.388
7.517,207.816,0.388
7.533,207.661,0.388
7.550,207.506,0.388
7.567,207.352,0.388
7.583,207.198,0.388
7.600,207.044,0.388
7.617,206.892,0.388
7.633,206.739,0.388
7.650,206.588,0.388
7.667,206.437,0.388
7.683,206.286,0.388
7.700,206.136,0.388
7.717,205.987,0.388
7.733,205.838,0.388
7.750,205.690,0.388
7.767,205.542,0.388
7.783,205.394,0.388
7.800,205.247,0.388
7.817,205.101,0.388
7.833,204.956,0.388
7.850,204.810,0.388
7.867,204.666,0.388
7.883,204.521,0.388
7.900,204.377,0.388
7.917,204.234,0.388
7.933,204.091,0.388
7.950,203.948,0.388
7.967,203.806,0.388
7.983,203.664,0.388
8.000,203.523,0.388
8.017,203.382,0.388
8.033,203.242,0.388
8.050,203.102,0.388
8.067,202.963,0.388
8.083,202.824,0.388
8.100,202.686,0.388
8.117,202.548,0.388
8.133,202.410,0.388
8.150,202.273,0.388
8.167,202.136,0.388
8.183,202.000,0.388
8.200,201.864,0.388
8.217,201.729,0.388
8.233,201.594,0.388
8.250,201.459,0.388
8.267,201.325,0.388
8.283,201.191,0.388
8.300,201.058,0.388
8.317,200.925,0.388
8.333,200.792,0.388
8.350,200.660,0.388
8.367,200.528,0.388
8.383,200.396,0.388
8.400,200.265,0.388
8.417,200.135,0.388
8.433,200.005,0.388
8.450,199.875,0.388
8.467,199.746,0.388
8.483,199.616,0.388
