# Frequency,Velocity,Velstd 
#  coords,(25.6, -12.0),(0.45, 23.759999999999998)
2.500,307.637,0.769
2.517,306.809,0.409
2.533,305.989,0.402
2.550,305.177,0.396
2.567,304.372,0.390
2.583,303.576,0.388
2.600,302.787,0.388
2.617,302.006,0.388
2.633,301.232,0.388
2.650,300.465,0.388
2.667,299.706,0.388
2.683,298.954,0.388
2.700,298.209,0.388
2.717,297.470,0.388
2.733,296.739,0.388
2.750,296.014,0.388
2.767,295.296,0.388
2.783,294.584,0.388
2.800,293.879,0.388
2.817,293.180,0.388
2.833,292.487,0.388
2.850,291.800,0.388
2.867,291.119,0.388
2.883,290.444,0.388
2.900,289.775,0.388
2.917,289.111,0.388
2.933,288.454,0.388
2.950,287.801,0.388
2.967,287.155,0.388
2.983,286.513,0.388
3.000,285.877,0.388
3.017,285.247,0.388
3.033,284.621,0.388
3.050,284.001,0.388
3.067,283.386,0.388
3.083,282.775,0.388
3.100,282.170,0.388
3.117,281.570,0.388
3.133,280.974,0.388
3.150,280.383,0.388
3.167,279.797,0.388
3.183,279.215,0.388
3.200,278.638,0.388
3.217,278.066,0.388
3.233,277.498,0.388
3.250,276.934,0.388
3.267,276.375,0.388
3.283,275.819,0.388
3.300,275.268,0.388
3.317,274.722,0.388
3.333,274.179,0.388
3.350,273.640,0.388
3.367,273.106,0.388
3.383,272.575,0.388
3.400,272.048,0.388
3.417,271.525,0.388
3.433,271.006,0.388
3.450,270.491,0.388
3.467,269.979,0.388
3.483,269.471,0.388
3.500,268.967,0.388
3.517,268.466,0.388
3.533,267.969,0.388
3.550,267.475,0.388
3.567,266.985,0.388
3.583,266.498,0.388
3.600,266.015,0.388
3.617,265.535,0.388
3.633,265.058,0.388
3.650,264.584,0.388
3.667,264.114,0.388
3.683,263.647,0.388
3.700,263.183,0.388
3.717,262.722,0.388
3.733,262.265,0.388
3.750,261.810,0.388
3.767,261.359,0.388
3.783,260.910,0.388
3.800,260.464,0.388
3.817,260.022,0.388
3.833,259.582,0.388
3.850,259.145,0.388
3.867,258.711,0.388
3.883,258.280,0.388
3.900,257.851,0.388
3.917,257.425,0.388
3.933,257.002,0.388
3.950,256.582,0.388
3.967,256.164,0.388
3.983,255.749,0.388
4.000,255.336,0.388
4.017,254.926,0.388
4.033,254.519,0.388
4.050,254.114,0.388
4.067,253.712,0.388
4.083,253.312,0.388
4.100,252.914,0.388
4.117,252.519,0.388
4.133,252.126,0.388
4.150,251.735,0.388
4.167,251.347,0.388
4.183,250.962,0.388
4.200,250.578,0.388
4.217,250.197,0.388
4.233,249.818,0.388
4.250,249.442,0.388
4.267,249.067,0.388
4.283,248.695,0.388
4.300,248.325,0.388
4.317,247.957,0.388
4.333,247.591,0.388
4.350,247.227,0.388
4.367,246.865,0.388
4.383,246.506,0.388
4.400,246.148,0.388
4.417,245.793,0.388
4.433,245.439,0.388
4.450,245.088,0.388
4.467,244.738,0.388
4.483,244.391,0.388
4.500,244.045,0.388
4.517,243.701,0.388
4.533,243.359,0.388
4.550,243.020,0.388
4.567,242.682,0.388
4.583,242.346,0.388
4.600,242.011,0.388
4.617,241.679,0.388
4.633,241.348,0.388
4.650,241.019,0.388
4.667,240.691,0.388
4.683,240.365,0.388
4.700,240.042,0.388
4.717,239.720,0.388
4.733,239.400,0.388
4.750,239.081,0.388
4.767,238.764,0.388
4.783,238.449,0.388
4.800,238.135,0.388
4.817,237.823,0.388
4.833,237.513,0.388
4.850,237.204,0.388
4.867,236.897,0.388
4.883,236.591,0.388
4.900,236.287,0.388
4.917,235.985,0.388
4.933,235.684,0.388
4.950,235.385,0.388
4.967,235.087,0.388
4.983,234.790,0.388
5.000,234.496,0.388
5.017,234.202,0.388
5.033,233.910,0.388
5.050,233.620,0.388
5.067,233.331,0.388
5.083,233.043,0.388
5.100,232.757,0.388
5.117,232.472,0.388
5.133,232.189,0.388
5.150,231.907,0.388
5.167,231.626,0.388
5.183,231.346,0.388
5.200,231.068,0.388
5.217,230.792,0.388
5.233,230.516,0.388
5.250,230.242,0.388
5.267,229.969,0.388
5.283,229.697,0.388
5.300,229.427,0.388
5.317,229.158,0.388
5.333,228.890,0.388
5.350,228.623,0.388
5.367,228.358,0.388
5.383,228.093,0.388
5.400,227.830,0.388
5.417,227.569,0.388
5.433,227.308,0.388
5.450,227.048,0.388
5.467,226.790,0.388
5.483,226.533,0.388
5.500,226.277,0.388
5.517,226.023,0.388
5.533,225.769,0.388
5.550,225.517,0.388
5.567,225.266,0.388
5.583,225.016,0.388
5.600,224.767,0.388
5.617,224.519,0.388
5.633,224.272,0.388
5.650,224.026,0.388
5.667,223.781,0.388
5.683,223.538,0.388
5.700,223.295,0.388
5.717,223.054,0.388
5.733,222.813,0.388
5.750,222.574,0.388
5.767,222.336,0.388
5.783,222.098,0.388
5.800,221.862,0.388
5.817,221.627,0.388
5.833,221.393,0.388
5.850,221.159,0.388
5.867,220.927,0.388
5.883,220.696,0.388
5.900,220.465,0.388
5.917,220.236,0.388
5.933,220.008,0.388
5.950,219.780,0.388
5.967,219.554,0.388
5.983,219.328,0.388
6.000,219.104,0.388
6.017,218.880,0.388
6.033,218.658,0.388
6.050,218.436,0.388
6.067,218.215,0.388
6.083,217.995,0.388
6.100,217.776,0.388
6.117,217.558,0.388
6.133,217.340,0.388
6.150,217.124,0.388
6.167,216.909,0.388
6.183,216.694,0.388
6.200,216.480,0.388
6.217,216.268,0.388
6.233,216.056,0.388
6.250,215.845,0.388
6.267,215.635,0.388
6.283,215.426,0.388
6.300,215.217,0.388
6.317,215.010,0.388
6.333,214.803,0.388
6.350,214.597,0.388
6.367,214.391,0.388
6.383,214.187,0.388
6.400,213.983,0.388
6.417,213.780,0.388
6.433,213.578,0.388
6.450,213.377,0.388
6.467,213.176,0.388
6.483,212.976,0.388
6.500,212.777,0.388
6.517,212.579,0.388
6.533,212.381,0.388
