# Frequency,Velocity,Velstd 
#  coords,(0.45, -0.08000000000000007),(12.8, -0.08000000000000007)
5.700,218.501,0.769
5.717,218.408,0.408
5.733,218.316,0.402
5.750,218.224,0.396
5.767,218.132,0.390
5.783,218.041,0.388
5.800,217.950,0.388
5.817,217.860,0.388
5.833,217.770,0.388
5.850,217.680,0.388
5.867,217.591,0.388
5.883,217.502,0.388
5.900,217.414,0.388
5.917,217.326,0.388
5.933,217.239,0.388
5.950,217.151,0.388
5.967,217.065,0.388
5.983,216.978,0.388
6.000,216.892,0.388
6.017,216.806,0.388
6.033,216.721,0.388
6.050,216.635,0.388
6.067,216.551,0.388
6.083,216.466,0.388
6.100,216.382,0.388
6.117,216.299,0.388
6.133,216.215,0.388
6.150,216.132,0.388
6.167,216.050,0.388
6.183,215.967,0.388
6.200,215.886,0.388
6.217,215.804,0.388
6.233,215.723,0.388
6.250,215.641,0.388
6.267,215.561,0.388
6.283,215.481,0.388
6.300,215.400,0.388
6.317,215.321,0.388
6.333,215.241,0.388
6.350,215.162,0.388
6.367,215.083,0.388
6.383,215.004,0.388
6.400,214.926,0.388
6.417,214.848,0.388
6.433,214.770,0.388
6.450,214.693,0.388
6.467,214.616,0.388
6.483,214.539,0.388
6.500,214.463,0.388
6.517,214.386,0.388
6.533,214.310,0.388
6.550,214.235,0.388
6.567,214.160,0.388
6.583,214.085,0.388
6.600,214.010,0.388
6.617,213.936,0.388
6.633,213.862,0.388
6.650,213.789,0.388
6.667,213.716,0.388
6.683,213.643,0.388
6.700,213.570,0.388
6.717,213.498,0.388
6.733,213.426,0.388
6.750,213.354,0.388
6.767,213.282,0.388
6.783,213.210,0.388
6.800,213.139,0.388
6.817,213.068,0.388
6.833,212.997,0.388
6.850,212.927,0.388
6.867,212.856,0.388
6.883,212.786,0.388
6.900,212.716,0.388
6.917,212.647,0.388
6.933,212.578,0.388
6.950,212.509,0.388
6.967,212.440,0.388
6.983,212.372,0.388
7.000,212.304,0.388
7.017,212.236,0.388
7.033,212.169,0.388
7.050,212.101,0.388
7.067,212.034,0.388
7.083,211.967,0.388
7.100,211.900,0.388
7.117,211.834,0.388
7.133,211.768,0.388
7.150,211.702,0.388
7.167,211.636,0.388
7.183,211.570,0.388
7.200,211.504,0.388
7.217,211.439,0.388
7.233,211.374,0.388
7.250,211.309,0.388
7.267,211.245,0.388
7.283,211.181,0.388
7.300,211.117,0.388
7.317,211.053,0.388
7.333,210.989,0.388
7.350,210.926,0.388
7.367,210.863,0.388
7.383,210.800,0.388
7.400,210.737,0.388
7.417,210.674,0.388
7.433,210.612,0.388
7.450,210.550,0.388
7.467,210.488,0.388
7.483,210.426,0.388
7.500,210.364,0.388
7.517,210.303,0.388
7.533,210.241,0.388
7.550,210.180,0.388
7.567,210.119,0.388
7.583,210.059,0.388
7.600,209.998,0.388
7.617,209.937,0.388
7.633,209.877,0.388
7.650,209.817,0.388
7.667,209.757,0.388
7.683,209.697,0.388
7.700,209.637,0.388
7.717,209.578,0.388
7.733,209.518,0.388
7.750,209.459,0.388
7.767,209.400,0.388
7.783,209.340,0.388
7.800,209.282,0.388
7.817,209.223,0.388
7.833,209.165,0.388
7.850,209.106,0.388
7.867,209.048,0.388
7.883,208.991,0.388
7.900,208.933,0.388
7.917,208.876,0.388
7.933,208.819,0.388
7.950,208.762,0.388
7.967,208.706,0.388
7.983,208.649,0.388
8.000,208.593,0.388
8.017,208.537,0.388
8.033,208.480,0.388
8.050,208.425,0.388
8.067,208.369,0.388
8.083,208.314,0.388
8.100,208.259,0.388
8.117,208.204,0.388
8.133,208.149,0.388
8.150,208.094,0.388
8.167,208.039,0.388
8.183,207.985,0.388
8.200,207.930,0.388
8.217,207.876,0.388
8.233,207.822,0.388
8.250,207.768,0.388
8.267,207.715,0.388
8.283,207.661,0.388
8.300,207.608,0.388
8.317,207.554,0.388
8.333,207.501,0.388
8.350,207.448,0.388
8.367,207.396,0.388
8.383,207.343,0.388
8.400,207.290,0.388
8.417,207.238,0.388
8.433,207.186,0.388
8.450,207.134,0.388
8.467,207.082,0.388
8.483,207.031,0.388
8.500,206.979,0.388
8.517,206.928,0.388
8.533,206.876,0.388
8.550,206.825,0.388
8.567,206.775,0.388
8.583,206.724,0.388
8.600,206.673,0.388
8.617,206.623,0.388
8.633,206.572,0.388
8.650,206.522,0.388
8.667,206.472,0.388
8.683,206.422,0.388
8.700,206.372,0.388
8.717,206.323,0.388
8.733,206.274,0.388
8.750,206.224,0.388
8.767,206.175,0.388
8.783,206.126,0.388
8.800,206.077,0.388
8.817,206.029,0.388
8.833,205.981,0.388
8.850,205.932,0.388
8.867,205.884,0.388
8.883,205.837,0.388
8.900,205.789,0.388
8.917,205.741,0.388
8.933,205.694,0.388
8.950,205.646,0.388
8.967,205.599,0.388
8.983,205.552,0.388
9.000,205.505,0.388
9.017,205.458,0.388
9.033,205.412,0.388
9.050,205.365,0.388
9.067,205.319,0.388
9.083,205.272,0.388
9.100,205.226,0.388
9.117,205.180,0.388
9.133,205.134,0.388
9.150,205.088,0.388
9.167,205.043,0.388
9.183,204.997,0.388
9.200,204.952,0.388
9.217,204.907,0.388
9.233,204.862,0.388
9.250,204.817,0.388
9.267,204.772,0.388
9.283,204.728,0.388
9.300,204.683,0.388
9.317,204.639,0.388
9.333,204.595,0.388
9.350,204.551,0.388
9.367,204.507,0.388
9.383,204.463,0.388
9.400,204.419,0.388
9.417,204.376,0.388
9.433,204.332,0.388
9.450,204.289,0.388
9.467,204.246,0.388
9.483,204.203,0.388
9.500,204.160,0.388
9.517,204.117,0.388
9.533,204.074,0.388
9.550,204.031,0.388
9.567,203.989,0.388
9.583,203.946,0.388
9.600,203.904,0.388
9.617,203.862,0.388
9.633,203.820,0.388
9.650,203.778,0.388
9.667,203.736,0.388
9.683,203.694,0.388
9.700,203.652,0.388
9.717,203.611,0.388
9.733,203.569,0.388
9.750,203.528,0.388
9.767,203.486,0.388
9.783,203.445,0.388
9.800,203.404,0.388
9.817,203.363,0.388
9.833,203.323,0.388
9.850,203.282,0.388
9.867,203.241,0.388
9.883,203.201,0.388
9.900,203.160,0.388
9.917,203.120,0.388
9.933,203.080,0.388
9.950,203.040,0.388
9.967,202.999,0.388
9.983,202.960,0.388
10.000,202.920,0.388
10.017,202.880,0.388
10.033,202.840,0.388
10.050,202.801,0.388
10.067,202.761,0.388
10.083,202.722,0.388
10.100,202.682,0.388
10.117,202.643,0.388
10.133,202.604,0.388
10.150,202.565,0.388
10.167,202.526,0.388
10.183,202.487,0.388
10.200,202.448,0.388
10.217,202.409,0.388
10.233,202.371,0.388
10.250,202.332,0.388
10.267,202.294,0.388
10.283,202.255,0.388
10.300,202.217,0.388
10.317,202.179,0.388
10.333,202.140,0.388
10.350,202.102,0.388
10.367,202.064,0.388
10.383,202.027,0.388
10.400,201.989,0.388
10.417,201.951,0.388
10.433,201.913,0.388
10.450,201.876,0.388
10.467,201.838,0.388
10.483,201.801,0.388
10.500,201.763,0.388
10.517,201.726,0.388
10.533,201.689,0.388
10.550,201.652,0.388
10.567,201.615,0.388
10.583,201.578,0.388
10.600,201.541,0.388
10.617,201.505,0.388
10.633,201.468,0.388
10.650,201.432,0.388
10.667,201.395,0.388
10.683,201.359,0.388
10.700,201.322,0.388
10.717,201.286,0.388
10.733,201.250,0.388
10.750,201.214,0.388
10.767,201.178,0.388
10.783,201.142,0.388
10.800,201.106,0.388
10.817,201.070,0.388
10.833,201.034,0.388
10.850,200.998,0.388
10.867,200.962,0.388
10.883,200.927,0.388
10.900,200.891,0.388
10.917,200.856,0.388
10.933,200.820,0.388
10.950,200.785,0.388
10.967,200.750,0.388
10.983,200.715,0.388
11.000,200.680,0.388
11.017,200.645,0.388
11.033,200.610,0.388
11.050,200.576,0.388
11.067,200.541,0.388
11.083,200.506,0.388
11.100,200.472,0.388
11.117,200.438,0.388
11.133,200.403,0.388
11.150,200.369,0.388
11.167,200.335,0.388
11.183,200.300,0.388
11.200,200.266,0.388
11.217,200.232,0.388
11.233,200.198,0.388
11.250,200.164,0.388
11.267,200.130,0.388
11.283,200.097,0.388
11.300,200.063,0.388
11.317,200.030,0.388
11.333,199.996,0.388
11.350,199.963,0.388
11.367,199.929,0.388
11.383,199.896,0.388
11.400,199.863,0.388
11.417,199.830,0.388
11.433,199.797,0.388
11.450,199.764,0.388
11.467,199.731,0.388
11.483,199.699,0.388
11.500,199.666,0.388
11.517,199.634,0.388
11.533,199.601,0.388
11.550,199.569,0.388
11.567,199.536,0.388
11.583,199.504,0.388
11.600,199.472,0.388
11.617,199.440,0.388
11.633,199.408,0.388
11.650,199.376,0.388
11.667,199.344,0.388
11.683,199.312,0.388
11.700,199.281,0.388
11.717,199.249,0.388
11.733,199.217,0.388
11.750,199.186,0.388
11.767,199.154,0.388
11.783,199.123,0.388
11.800,199.092,0.388
11.817,199.061,0.388
11.833,199.030,0.388
11.850,198.999,0.388
11.867,198.968,0.388
11.883,198.937,0.388
11.900,198.906,0.388
11.917,198.876,0.388
11.933,198.845,0.388
11.950,198.815,0.388
11.967,198.784,0.388
11.983,198.754,0.388
12.000,198.723,0.388
12.017,198.693,0.388
12.033,198.663,0.388
12.050,198.633,0.388
12.067,198.602,0.388
12.083,198.572,0.388
12.100,198.542,0.388
12.117,198.512,0.388
12.133,198.482,0.388
12.150,198.453,0.388
12.167,198.423,0.388
12.183,198.394,0.388
12.200,198.364,0.388
12.217,198.335,0.388
12.233,198.305,0.388
12.250,198.276,0.388
12.267,198.246,0.388
12.283,198.217,0.388
12.300,198.187,0.388
12.317,198.158,0.388
12.333,198.129,0.388
12.350,198.100,0.388
12.367,198.071,0.388
12.383,198.042,0.388
12.400,198.013,0.388
12.417,197.985,0.388
12.433,197.956,0.388
12.450,197.927,0.388
12.467,197.899,0.388
12.483,197.871,0.388
12.500,197.842,0.388
12.517,197.814,0.388
12.533,197.786,0.388
12.550,197.758,0.388
12.567,197.730,0.388
12.583,197.702,0.388
12.600,197.674,0.388
12.617,197.647,0.388
12.633,197.619,0.388
12.650,197.591,0.388
12.667,197.563,0.388
12.683,197.535,0.388
12.700,197.507,0.388
12.717,197.478,0.388
12.733,197.450,0.388
12.750,197.422,0.388
12.767,197.394,0.388
12.783,197.367,0.388
12.800,197.339,0.388
12.817,197.312,0.388
12.833,197.285,0.388
12.850,197.257,0.388
12.867,197.230,0.388
12.883,197.203,0.388
12.900,197.176,0.388
12.917,197.149,0.388
12.933,197.122,0.388
12.950,197.095,0.388
12.967,197.068,0.388
12.983,197.041,0.388
13.000,197.014,0.388
13.017,196.986,0.388
13.033,196.959,0.388
13.050,196.933,0.388
13.067,196.906,0.388
13.083,196.879,0.388
13.100,196.853,0.388
13.117,196.826,0.388
13.133,196.800,0.388
13.150,196.773,0.388
13.167,196.747,0.388
13.183,196.720,0.388
13.200,196.694,0.388
13.217,196.668,0.388
13.233,196.642,0.388
13.250,196.615,0.388
13.267,196.589,0.388
13.283,196.563,0.388
13.300,196.537,0.388
