# Frequency,Velocity,Velstd 
#  coords,(0.45, -0.08000000000000007),(12.8, 12.719999999999999)
3.500,211.508,0.769
3.517,211.311,0.409
3.533,211.116,0.402
3.550,210.922,0.396
3.567,210.729,0.390
3.583,210.538,0.388
3.600,210.348,0.388
3.617,210.160,0.388
3.633,209.972,0.388
3.650,209.786,0.388
3.667,209.601,0.388
3.683,209.418,0.388
3.700,209.235,0.388
3.717,209.054,0.388
3.733,208.874,0.388
3.750,208.696,0.388
3.767,208.518,0.388
3.783,208.342,0.388
3.800,208.166,0.388
3.817,207.992,0.388
3.833,207.819,0.388
3.850,207.647,0.388
3.867,207.476,0.388
3.883,207.306,0.388
3.900,207.138,0.388
3.917,206.970,0.388
3.933,206.804,0.388
3.950,206.639,0.388
3.967,206.475,0.388
3.983,206.312,0.388
4.000,206.150,0.388
4.017,205.988,0.388
4.033,205.828,0.388
4.050,205.669,0.388
4.067,205.511,0.388
4.083,205.354,0.388
4.100,205.198,0.388
4.117,205.043,0.388
4.133,204.889,0.388
4.150,204.736,0.388
4.167,204.583,0.388
4.183,204.432,0.388
4.200,204.281,0.388
4.217,204.131,0.388
4.233,203.982,0.388
4.250,203.834,0.388
4.267,203.686,0.388
4.283,203.540,0.388
4.300,203.395,0.388
4.317,203.251,0.388
4.333,203.107,0.388
4.350,202.964,0.388
4.367,202.822,0.388
4.383,202.681,0.388
4.400,202.541,0.388
4.417,202.402,0.388
4.433,202.263,0.388
4.450,202.125,0.388
4.467,201.987,0.388
4.483,201.851,0.388
4.500,201.715,0.388
4.517,201.580,0.388
4.533,201.446,0.388
4.550,201.312,0.388
4.567,201.179,0.388
4.583,201.047,0.388
4.600,200.916,0.388
4.617,200.786,0.388
4.633,200.656,0.388
4.650,200.527,0.388
4.667,200.399,0.388
4.683,200.272,0.388
4.700,200.145,0.388
4.717,200.019,0.388
4.733,199.894,0.388
4.750,199.770,0.388
4.767,199.645,0.388
4.783,199.522,0.388
4.800,199.399,0.388
4.817,199.276,0.388
4.833,199.155,0.388
4.850,199.034,0.388
4.867,198.913,0.388
4.883,198.794,0.388
4.900,198.675,0.388
4.917,198.557,0.388
4.933,198.439,0.388
4.950,198.322,0.388
4.967,198.205,0.388
4.983,198.088,0.388
5.000,197.973,0.388
5.017,197.857,0.388
5.033,197.743,0.388
5.050,197.628,0.388
5.067,197.515,0.388
5.083,197.402,0.388
5.100,197.290,0.388
5.117,197.179,0.388
5.133,197.068,0.388
5.150,196.957,0.388
5.167,196.847,0.388
5.183,196.737,0.388
5.200,196.628,0.388
5.217,196.520,0.388
5.233,196.412,0.388
5.250,196.304,0.388
5.267,196.197,0.388
5.283,196.090,0.388
5.300,195.984,0.388
5.317,195.878,0.388
5.333,195.773,0.388
5.350,195.668,0.388
5.367,195.564,0.388
5.383,195.461,0.388
5.400,195.358,0.388
5.417,195.255,0.388
5.433,195.153,0.388
5.450,195.052,0.388
5.467,194.950,0.388
5.483,194.850,0.388
5.500,194.749,0.388
5.517,194.649,0.388
5.533,194.550,0.388
5.550,194.451,0.388
5.567,194.353,0.388
5.583,194.255,0.388
5.600,194.157,0.388
5.617,194.060,0.388
5.633,193.963,0.388
5.650,193.867,0.388
5.667,193.771,0.388
5.683,193.676,0.388
5.700,193.581,0.388
5.717,193.486,0.388
5.733,193.392,0.388
5.750,193.298,0.388
5.767,193.204,0.388
5.783,193.111,0.388
5.800,193.018,0.388
5.817,192.926,0.388
5.833,192.834,0.388
5.850,192.743,0.388
5.867,192.652,0.388
5.883,192.561,0.388
5.900,192.471,0.388
5.917,192.381,0.388
5.933,192.291,0.388
5.950,192.202,0.388
5.967,192.113,0.388
5.983,192.025,0.388
6.000,191.937,0.388
6.017,191.849,0.388
6.033,191.761,0.388
6.050,191.674,0.388
6.067,191.588,0.388
6.083,191.501,0.388
6.100,191.415,0.388
6.117,191.330,0.388
6.133,191.244,0.388
6.150,191.159,0.388
6.167,191.075,0.388
6.183,190.991,0.388
6.200,190.907,0.388
6.217,190.823,0.388
6.233,190.740,0.388
6.250,190.657,0.388
6.267,190.574,0.388
6.283,190.492,0.388
6.300,190.410,0.388
6.317,190.328,0.388
6.333,190.247,0.388
6.350,190.166,0.388
6.367,190.085,0.388
6.383,190.005,0.388
6.400,189.925,0.388
6.417,189.845,0.388
6.433,189.765,0.388
6.450,189.686,0.388
6.467,189.607,0.388
6.483,189.529,0.388
6.500,189.451,0.388
6.517,189.373,0.388
6.533,189.295,0.388
6.550,189.218,0.388
6.567,189.141,0.388
