1.530000000000000071e+01 1.606430000000000007e+02 7.690000000000000169e-01 1.050000000000000000e+01
1.454100000000000037e+01 1.659550000000000125e+02 3.880000000000000115e-01 1.141300000000000026e+01
1.381600000000000072e+01 1.713979999999999961e+02 3.880000000000000115e-01 1.240600000000000058e+01
1.312500000000000000e+01 1.770039999999999907e+02 3.880000000000000115e-01 1.348600000000000065e+01
1.246899999999999942e+01 1.827899999999999920e+02 3.880000000000000115e-01 1.465900000000000070e+01
1.184299999999999997e+01 1.887150000000000034e+02 3.880000000000000115e-01 1.593399999999999928e+01
1.124699999999999989e+01 1.948079999999999927e+02 3.880000000000000115e-01 1.732100000000000151e+01
1.068099999999999916e+01 2.010970000000000084e+02 3.880000000000000115e-01 1.882799999999999940e+01
1.014199999999999946e+01 2.075740000000000123e+02 3.880000000000000115e-01 2.046600000000000108e+01
9.630000000000000782e+00 2.142350000000000136e+02 3.880000000000000115e-01 2.224699999999999989e+01
9.141999999999999460e+00 2.210780000000000030e+02 3.880000000000000115e-01 2.418199999999999861e+01
8.678000000000000824e+00 2.281119999999999948e+02 3.880000000000000115e-01 2.628699999999999903e+01
8.236000000000000654e+00 2.353400000000000034e+02 3.880000000000000115e-01 2.857400000000000162e+01
7.817000000000000171e+00 2.427860000000000014e+02 3.880000000000000115e-01 3.105999999999999872e+01
7.418000000000000149e+00 2.504379999999999882e+02 3.880000000000000115e-01 3.376200000000000045e+01
7.038000000000000256e+00 2.582970000000000255e+02 3.880000000000000115e-01 3.670000000000000284e+01
6.677999999999999936e+00 2.663919999999999959e+02 3.880000000000000115e-01 3.989300000000000068e+01
6.334999999999999964e+00 2.747069999999999936e+02 3.880000000000000115e-01 4.336399999999999721e+01
6.009000000000000341e+00 2.832699999999999818e+02 3.880000000000000115e-01 4.713700000000000045e+01
5.700000000000000178e+00 2.920609999999999786e+02 7.690000000000000169e-01 5.123899999999999721e+01
