# Frequency,Velocity,Velstd 
#  coords,(13.7, -12.0),(6.85, -16.1)
8.000,192.013,0.769
8.017,191.891,0.408
8.033,191.770,0.402
8.050,191.649,0.396
8.067,191.528,0.390
8.083,191.407,0.388
8.100,191.287,0.388
8.117,191.168,0.388
8.133,191.048,0.388
8.150,190.929,0.388
8.167,190.811,0.388
8.183,190.693,0.388
8.200,190.575,0.388
8.217,190.458,0.388
8.233,190.340,0.388
8.250,190.223,0.388
8.267,190.107,0.388
8.283,189.991,0.388
8.300,189.875,0.388
8.317,189.760,0.388
8.333,189.645,0.388
8.350,189.531,0.388
8.367,189.416,0.388
8.383,189.302,0.388
8.400,189.188,0.388
8.417,189.075,0.388
8.433,188.961,0.388
8.450,188.849,0.388
8.467,188.737,0.388
8.483,188.625,0.388
8.500,188.513,0.388
8.517,188.402,0.388
8.533,188.290,0.388
8.550,188.179,0.388
8.567,188.068,0.388
8.583,187.958,0.388
8.600,187.849,0.388
8.617,187.739,0.388
8.633,187.630,0.388
8.650,187.522,0.388
8.667,187.413,0.388
8.683,187.306,0.388
8.700,187.198,0.388
8.717,187.091,0.388
8.733,186.984,0.388
8.750,186.877,0.388
8.767,186.770,0.388
8.783,186.664,0.388
8.800,186.558,0.388
8.817,186.452,0.388
8.833,186.347,0.388
8.850,186.241,0.388
8.867,186.136,0.388
8.883,186.031,0.388
8.900,185.926,0.388
8.917,185.822,0.388
8.933,185.718,0.388
8.950,185.614,0.388
8.967,185.511,0.388
8.983,185.407,0.388
9.000,185.304,0.388
9.017,185.201,0.388
9.033,185.099,0.388
9.050,184.997,0.388
9.067,184.896,0.388
9.083,184.794,0.388
9.100,184.693,0.388
9.117,184.592,0.388
9.133,184.491,0.388
9.150,184.391,0.388
9.167,184.290,0.388
9.183,184.191,0.388
9.200,184.091,0.388
9.217,183.992,0.388
9.233,183.894,0.388
9.250,183.795,0.388
9.267,183.697,0.388
9.283,183.598,0.388
9.300,183.500,0.388
9.317,183.402,0.388
9.333,183.305,0.388
9.350,183.207,0.388
9.367,183.110,0.388
9.383,183.013,0.388
9.400,182.917,0.388
9.417,182.820,0.388
9.433,182.724,0.388
9.450,182.628,0.388
9.467,182.533,0.388
9.483,182.437,0.388
9.500,182.342,0.388
9.517,182.247,0.388
9.533,182.153,0.388
9.550,182.059,0.388
9.567,181.965,0.388
9.583,181.872,0.388
9.600,181.779,0.388
9.617,181.686,0.388
9.633,181.593,0.388
9.650,181.500,0.388
9.667,181.407,0.388
9.683,181.315,0.388
9.700,181.223,0.388
9.717,181.131,0.388
9.733,181.040,0.388
9.750,180.949,0.388
9.767,180.858,0.388
9.783,180.768,0.388
9.800,180.677,0.388
9.817,180.587,0.388
9.833,180.497,0.388
9.850,180.407,0.388
9.867,180.317,0.388
9.883,180.227,0.388
9.900,180.138,0.388
9.917,180.049,0.388
9.933,179.961,0.388
9.950,179.872,0.388
9.967,179.783,0.388
9.983,179.694,0.388
10.000,179.606,0.388
10.017,179.518,0.388
10.033,179.431,0.388
10.050,179.344,0.388
10.067,179.257,0.388
10.083,179.170,0.388
10.100,179.083,0.388
10.117,178.997,0.388
10.133,178.911,0.388
10.150,178.824,0.388
10.167,178.739,0.388
10.183,178.653,0.388
10.200,178.568,0.388
10.217,178.482,0.388
10.233,178.397,0.388
10.250,178.313,0.388
10.267,178.228,0.388
10.283,178.143,0.388
10.300,178.059,0.388
10.317,177.974,0.388
10.333,177.890,0.388
10.350,177.806,0.388
10.367,177.722,0.388
10.383,177.639,0.388
10.400,177.556,0.388
10.417,177.474,0.388
10.433,177.391,0.388
10.450,177.309,0.388
10.467,177.226,0.388
10.483,177.144,0.388
10.500,177.063,0.388
10.517,176.982,0.388
10.533,176.900,0.388
10.550,176.819,0.388
10.567,176.738,0.388
10.583,176.658,0.388
10.600,176.577,0.388
10.617,176.497,0.388
10.633,176.417,0.388
10.650,176.337,0.388
10.667,176.257,0.388
10.683,176.178,0.388
10.700,176.099,0.388
10.717,176.020,0.388
10.733,175.941,0.388
10.750,175.862,0.388
10.767,175.784,0.388
10.783,175.705,0.388
10.800,175.627,0.388
10.817,175.549,0.388
10.833,175.471,0.388
10.850,175.394,0.388
10.867,175.316,0.388
10.883,175.238,0.388
10.900,175.161,0.388
10.917,175.084,0.388
10.933,175.007,0.388
10.950,174.930,0.388
10.967,174.854,0.388
10.983,174.777,0.388
11.000,174.701,0.388
11.017,174.625,0.388
11.033,174.549,0.388
11.050,174.474,0.388
11.067,174.398,0.388
11.083,174.323,0.388
11.100,174.248,0.388
11.117,174.173,0.388
11.133,174.098,0.388
11.150,174.024,0.388
11.167,173.949,0.388
11.183,173.875,0.388
11.200,173.801,0.388
11.217,173.727,0.388
11.233,173.654,0.388
11.250,173.580,0.388
11.267,173.507,0.388
11.283,173.434,0.388
11.300,173.361,0.388
11.317,173.288,0.388
11.333,173.216,0.388
11.350,173.143,0.388
11.367,173.071,0.388
11.383,172.999,0.388
11.400,172.927,0.388
11.417,172.855,0.388
11.433,172.783,0.388
11.450,172.711,0.388
11.467,172.640,0.388
11.483,172.568,0.388
11.500,172.497,0.388
11.517,172.426,0.388
11.533,172.356,0.388
11.550,172.285,0.388
11.567,172.215,0.388
11.583,172.145,0.388
11.600,172.075,0.388
11.617,172.005,0.388
11.633,171.935,0.388
11.650,171.865,0.388
11.667,171.796,0.388
11.683,171.727,0.388
11.700,171.658,0.388
11.717,171.589,0.388
11.733,171.520,0.388
11.750,171.451,0.388
11.767,171.383,0.388
11.783,171.315,0.388
11.800,171.247,0.388
11.817,171.179,0.388
11.833,171.111,0.388
11.850,171.043,0.388
11.867,170.976,0.388
11.883,170.909,0.388
11.900,170.842,0.388
11.917,170.775,0.388
11.933,170.708,0.388
11.950,170.641,0.388
11.967,170.574,0.388
11.983,170.508,0.388
12.000,170.442,0.388
12.017,170.376,0.388
12.033,170.310,0.388
12.050,170.244,0.388
12.067,170.178,0.388
12.083,170.113,0.388
12.100,170.047,0.388
12.117,169.982,0.388
12.133,169.917,0.388
12.150,169.852,0.388
12.167,169.787,0.388
12.183,169.722,0.388
12.200,169.657,0.388
12.217,169.593,0.388
12.233,169.529,0.388
12.250,169.464,0.388
12.267,169.400,0.388
12.283,169.337,0.388
12.300,169.273,0.388
12.317,169.209,0.388
12.333,169.145,0.388
12.350,169.082,0.388
12.367,169.019,0.388
12.383,168.955,0.388
12.400,168.892,0.388
12.417,168.829,0.388
12.433,168.767,0.388
12.450,168.704,0.388
12.467,168.641,0.388
12.483,168.579,0.388
12.500,168.516,0.388
12.517,168.454,0.388
12.533,168.392,0.388
12.550,168.330,0.388
12.567,168.268,0.388
12.583,168.207,0.388
12.600,168.145,0.388
12.617,168.084,0.388
12.633,168.022,0.388
12.650,167.961,0.388
12.667,167.900,0.388
12.683,167.839,0.388
12.700,167.778,0.388
12.717,167.717,0.388
12.733,167.656,0.388
12.750,167.596,0.388
12.767,167.535,0.388
12.783,167.475,0.388
12.800,167.415,0.388
12.817,167.355,0.388
12.833,167.295,0.388
12.850,167.235,0.388
12.867,167.175,0.388
12.883,167.115,0.388
12.900,167.056,0.388
12.917,166.997,0.388
12.933,166.937,0.388
12.950,166.878,0.388
12.967,166.819,0.388
12.983,166.760,0.388
13.000,166.701,0.388
13.017,166.642,0.388
13.033,166.584,0.388
13.050,166.525,0.388
13.067,166.467,0.388
13.083,166.408,0.388
13.100,166.350,0.388
13.117,166.292,0.388
13.133,166.234,0.388
13.150,166.176,0.388
13.167,166.118,0.388
13.183,166.060,0.388
13.200,166.002,0.388
13.217,165.945,0.388
13.233,165.887,0.388
13.250,165.830,0.388
13.267,165.773,0.388
13.283,165.715,0.388
13.300,165.658,0.388
13.317,165.601,0.388
13.333,165.545,0.388
13.350,165.488,0.388
13.367,165.431,0.388
13.383,165.375,0.388
13.400,165.319,0.388
13.417,165.262,0.388
13.433,165.206,0.388
13.450,165.150,0.388
13.467,165.094,0.388
13.483,165.038,0.388
13.500,164.982,0.388
13.517,164.927,0.388
13.533,164.871,0.388
13.550,164.816,0.388
13.567,164.760,0.388
13.583,164.705,0.388
13.600,164.650,0.388
13.617,164.595,0.388
13.633,164.540,0.388
13.650,164.485,0.388
13.667,164.430,0.388
13.683,164.375,0.388
13.700,164.321,0.388
13.717,164.266,0.388
13.733,164.212,0.388
13.750,164.157,0.388
13.767,164.103,0.388
13.783,164.049,0.388
13.800,163.995,0.388
13.817,163.942,0.388
13.833,163.888,0.388
13.850,163.834,0.388
13.867,163.780,0.388
13.883,163.726,0.388
13.900,163.673,0.388
13.917,163.620,0.388
13.933,163.566,0.388
13.950,163.513,0.388
13.967,163.460,0.388
13.983,163.408,0.388
14.000,163.355,0.388
14.017,163.302,0.388
14.033,163.249,0.388
14.050,163.196,0.388
14.067,163.144,0.388
14.083,163.091,0.388
14.100,163.039,0.388
14.117,162.986,0.388
