# Frequency,Velocity,Velstd 
#  coords,(25.6, -12.0),(24.15, -0.08000000000000007)
3.000,144.945,0.769
3.022,144.745,0.409
3.044,144.547,0.402
3.067,144.352,0.396
3.089,144.159,0.390
3.111,143.968,0.388
3.133,143.779,0.388
3.156,143.591,0.388
3.178,143.406,0.388
3.200,143.223,0.388
3.222,143.041,0.388
3.244,142.862,0.388
3.267,142.685,0.388
3.289,142.509,0.388
3.311,142.335,0.388
3.333,142.162,0.388
3.356,141.992,0.388
3.378,141.823,0.388
3.400,141.655,0.388
3.422,141.490,0.388
3.444,141.326,0.388
3.467,141.164,0.388
3.489,141.003,0.388
3.511,140.844,0.388
3.533,140.686,0.388
3.556,140.530,0.388
3.578,140.374,0.388
3.600,140.221,0.388
3.622,140.068,0.388
3.644,139.918,0.388
3.667,139.768,0.388
3.689,139.620,0.388
3.711,139.474,0.388
3.733,139.328,0.388
3.756,139.184,0.388
3.778,139.041,0.388
3.800,138.899,0.388
3.822,138.759,0.388
3.844,138.619,0.388
3.867,138.481,0.388
3.889,138.344,0.388
3.911,138.209,0.388
3.933,138.074,0.388
3.956,137.941,0.388
3.978,137.809,0.388
4.000,137.678,0.388
4.022,137.548,0.388
4.044,137.419,0.388
4.067,137.291,0.388
4.089,137.164,0.388
4.111,137.038,0.388
4.133,136.913,0.388
4.156,136.790,0.388
4.178,136.667,0.388
4.200,136.544,0.388
4.222,136.423,0.388
4.244,136.303,0.388
4.267,136.184,0.388
4.289,136.067,0.388
4.311,135.950,0.388
4.333,135.834,0.388
4.356,135.719,0.388
4.378,135.605,0.388
4.400,135.492,0.388
4.422,135.379,0.388
4.444,135.268,0.388
4.467,135.158,0.388
4.489,135.048,0.388
4.511,134.939,0.388
4.533,134.832,0.388
4.556,134.724,0.388
4.578,134.618,0.388
4.600,134.513,0.388
4.622,134.408,0.388
4.644,134.304,0.388
4.667,134.200,0.388
4.689,134.098,0.388
4.711,133.996,0.388
4.733,133.895,0.388
4.756,133.795,0.388
4.778,133.695,0.388
4.800,133.596,0.388
4.822,133.498,0.388
4.844,133.401,0.388
4.867,133.304,0.388
4.889,133.208,0.388
4.911,133.112,0.388
4.933,133.017,0.388
4.956,132.923,0.388
4.978,132.829,0.388
5.000,132.737,0.388
5.022,132.644,0.388
5.044,132.553,0.388
5.067,132.461,0.388
5.089,132.371,0.388
5.111,132.281,0.388
5.133,132.192,0.388
5.156,132.103,0.388
5.178,132.014,0.388
5.200,131.926,0.388
5.222,131.839,0.388
5.244,131.752,0.388
5.267,131.666,0.388
5.289,131.580,0.388
5.311,131.494,0.388
5.333,131.410,0.388
5.356,131.325,0.388
5.378,131.242,0.388
5.400,131.159,0.388
5.422,131.076,0.388
5.444,130.993,0.388
5.467,130.912,0.388
5.489,130.830,0.388
5.511,130.749,0.388
5.533,130.669,0.388
5.556,130.589,0.388
5.578,130.509,0.388
5.600,130.430,0.388
5.622,130.352,0.388
5.644,130.274,0.388
5.667,130.197,0.388
5.689,130.119,0.388
5.711,130.043,0.388
5.733,129.966,0.388
5.756,129.891,0.388
5.778,129.815,0.388
5.800,129.740,0.388
5.822,129.665,0.388
5.844,129.591,0.388
5.867,129.518,0.388
5.889,129.444,0.388
5.911,129.371,0.388
5.933,129.299,0.388
5.956,129.226,0.388
5.978,129.155,0.388
6.000,129.083,0.388
6.022,129.012,0.388
6.044,128.941,0.388
6.067,128.871,0.388
6.089,128.801,0.388
6.111,128.732,0.388
6.133,128.663,0.388
6.156,128.594,0.388
6.178,128.526,0.388
6.200,128.458,0.388
6.222,128.390,0.388
6.244,128.323,0.388
6.267,128.255,0.388
6.289,128.189,0.388
6.311,128.122,0.388
6.333,128.056,0.388
6.356,127.991,0.388
6.378,127.925,0.388
6.400,127.861,0.388
6.422,127.796,0.388
6.444,127.732,0.388
6.467,127.668,0.388
6.489,127.604,0.388
6.511,127.541,0.388
6.533,127.478,0.388
6.556,127.415,0.388
6.578,127.353,0.388
6.600,127.291,0.388
6.622,127.229,0.388
6.644,127.168,0.388
6.667,127.107,0.388
6.689,127.046,0.388
6.711,126.986,0.388
6.733,126.925,0.388
6.756,126.866,0.388
6.778,126.806,0.388
6.800,126.747,0.388
6.822,126.688,0.388
6.844,126.630,0.388
6.867,126.572,0.388
6.889,126.514,0.388
6.911,126.456,0.388
6.933,126.399,0.388
6.956,126.342,0.388
6.978,126.285,0.388
7.000,126.229,0.388
7.022,126.173,0.388
7.044,126.117,0.388
7.067,126.062,0.388
7.089,126.007,0.388
7.111,125.952,0.388
7.133,125.897,0.388
7.156,125.843,0.388
7.178,125.789,0.388
7.200,125.735,0.388
7.222,125.681,0.388
7.244,125.628,0.388
7.267,125.576,0.388
7.289,125.523,0.388
7.311,125.471,0.388
7.333,125.419,0.388
7.356,125.367,0.388
7.378,125.316,0.388
7.400,125.264,0.388
7.422,125.213,0.388
7.444,125.162,0.388
7.467,125.112,0.388
7.489,125.061,0.388
7.511,125.011,0.388
7.533,124.961,0.388
7.556,124.912,0.388
