# Frequency,Velocity,Velstd 
#  coords,(0.45, -0.08000000000000007),(0.45, 23.759999999999998)
2.000,281.495,0.769
2.022,280.560,0.409
2.044,279.640,0.402
2.067,278.735,0.396
2.089,277.845,0.390
2.111,276.969,0.388
2.133,276.106,0.388
2.156,275.257,0.388
2.178,274.421,0.388
2.200,273.598,0.388
2.222,272.787,0.388
2.244,271.988,0.388
2.267,271.201,0.388
2.289,270.425,0.388
2.311,269.661,0.388
2.333,268.908,0.388
2.356,268.165,0.388
2.378,267.433,0.388
2.400,266.711,0.388
2.422,265.999,0.388
2.444,265.297,0.388
2.467,264.604,0.388
2.489,263.921,0.388
2.511,263.246,0.388
2.533,262.580,0.388
2.556,261.924,0.388
2.578,261.275,0.388
2.600,260.635,0.388
2.622,260.003,0.388
2.644,259.378,0.388
2.667,258.762,0.388
2.689,258.153,0.388
2.711,257.552,0.388
2.733,256.958,0.388
2.756,256.371,0.388
2.778,255.791,0.388
2.800,255.218,0.388
2.822,254.652,0.388
2.844,254.093,0.388
2.867,253.540,0.388
2.889,252.994,0.388
2.911,252.454,0.388
2.933,251.919,0.388
2.956,251.391,0.388
2.978,250.869,0.388
3.000,250.353,0.388
3.022,249.842,0.388
3.044,249.338,0.388
3.067,248.838,0.388
3.089,248.344,0.388
3.111,247.855,0.388
3.133,247.372,0.388
3.156,246.893,0.388
3.178,246.419,0.388
3.200,245.951,0.388
3.222,245.487,0.388
3.244,245.028,0.388
3.267,244.574,0.388
3.289,244.124,0.388
3.311,243.679,0.388
3.333,243.238,0.388
3.356,242.802,0.388
3.378,242.370,0.388
3.400,241.943,0.388
3.422,241.519,0.388
3.444,241.100,0.388
3.467,240.684,0.388
3.489,240.273,0.388
3.511,239.866,0.388
3.533,239.462,0.388
3.556,239.062,0.388
3.578,238.666,0.388
3.600,238.274,0.388
3.622,237.885,0.388
3.644,237.500,0.388
3.667,237.118,0.388
3.689,236.740,0.388
3.711,236.365,0.388
3.733,235.993,0.388
3.756,235.625,0.388
3.778,235.260,0.388
3.800,234.899,0.388
3.822,234.540,0.388
3.844,234.185,0.388
3.867,233.833,0.388
3.889,233.484,0.388
3.911,233.137,0.388
3.933,232.794,0.388
3.956,232.453,0.388
3.978,232.115,0.388
4.000,231.781,0.388
4.022,231.449,0.388
4.044,231.120,0.388
4.067,230.793,0.388
4.089,230.470,0.388
4.111,230.149,0.388
4.133,229.830,0.388
4.156,229.514,0.388
4.178,229.201,0.388
4.200,228.890,0.388
4.222,228.581,0.388
